sum,term,name,pecentage,image,month
72000000,16,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,16,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,16,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
72000000,16,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
72000000,19,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,19,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,19,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
72000000,19,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
72000000,20,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,728 532 ₽/мес
72000000,20,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,777 775 ₽/мес
72000000,20,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,491 221 ₽/мес
72000000,20,Банк «Санкт-Петербург»,"от 10,9%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a6021.svg?v=0.ee,738 281 ₽/мес
72000000,17,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,17,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,17,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
72000000,17,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
72000000,23,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,23,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,23,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
72000000,23,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
72000000,24,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,24,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
72000000,24,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,300 000 ₽ – 100 млн ₽
72000000,24,Центр-инвест,"от 5,4%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76a245bc22a520a64db.svg,от 300 000 ₽
72000000,25,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,690 121 ₽/мес
72000000,25,Сбербанк,"от 11,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a609b.svg,742 409 ₽/мес
72000000,25,Банк «Санкт-Петербург»,"от 10,9%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a6021.svg?v=0.ee,700 482 ₽/мес
72000000,25,Ак Барс,"от 11,1%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f76b245bc22a520a667b.svg,710 892 ₽/мес
72000000,26,Росбанк Дом,"от 10,7%",https://s91588.cdn.ngenix.net/organizations/logotypes/square/5bb4f767245bc22a520a606f.svg?v=0.9e,от 300 000 ₽
