district,four_room,image,multiroom,name,one_room,room_types,studio,three_room,two_room
Филимонковское,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635a87660652a.jpg,-1,ЖК «Середневский лес»,6200000,"studio,one_room,two_room,three_room",4529000,10695000,7218000
Богородское,-1,https://st.novostroy.ru/regions/u/b/g/box_orig/635a8eedefd23.jpg,-1,ЖК «Лосиноостровский парк»,8656000,"studio,one_room,two_room,three_room",6088000,15150000,11350000
Нижегородский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5fec5e1df35be.jpg,-1,ЖК «Перовское 2»,8380000,"studio,one_room,two_room,three_room",5851000,15240000,8074000
Очаково-Матвеевское,25996000,https://st.novostroy.ru/regions/u/b/g/box_orig/635fa202297a0.jpg,-1,ЖК «Большая Очаковская 2»,10699000,"studio,one_room,two_room,three_room,four_room",7555000,18282000,10670000
Десёновское,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5cb0d3a564f0f.png,18840000,ЖК «Кленовые аллеи»,8758000,"studio,one_room,two_room,three_room,multiroom",8616000,12269000,10326000
Можайский,19505000,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/62bd8dbceaf4b.jpg,-1,МФК «Верейская 41»,-1,"studio,two_room,three_room,four_room",9551000,17394000,11878000
Балашиха,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/5ec3e7e69fcb1.jpg,-1,ЖК «Пехра»,4322000,"studio,one_room,two_room",3005000,-1,5865000
Красногорский,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/61daef36e12b7.png,-1,ЖК «Аникеевский»,-1,"studio,two_room,three_room",3630000,6095000,4458000
Западное Дегунино,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6360c758e820c.jpg,-1,ЖК «Алтуфьевское 53»,7585000,"studio,one_room,two_room,three_room",5414000,13272000,7808000
Бибирево,-1,https://novostroy-a.akamaihd.net/regions/u/b/g/box_orig/6360c2975fcd5.jpg,-1,ЖК «Полар»,7981000,"studio,one_room,two_room,three_room",5647000,13741000,8315000
